City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
425,Saquarema,BR,80.64,moderate rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
426,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
430,Kourou,GF,80.65,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
432,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
434,Makakilo City,US,76.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
444,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
445,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
446,San Vicente,AR,89.42,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
456,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
459,Siocon,PH,77.2,overcast clouds,7.7061,122.1353,ABS Hotel
461,Kudat,MY,75.13,few clouds,6.8837,116.8477,Dream Garden Hotel
463,Lloro,CO,85.95,broken clouds,5.4961,-76.5495,aidemi
477,Palenque,MX,82.56,scattered clouds,17.5167,-91.9667,Hotel Chablis Palenque
481,Mabaruma,GY,81.09,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
483,Hambantota,LK,76.44,overcast clouds,6.1241,81.1185,Bungalow 63
484,Mahibadhoo,MV,81.09,overcast clouds,3.7833,72.9667,Omadhoo Inn
485,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
486,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
492,Jacqueville,CI,82.31,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
494,Ixtapa,MX,76.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
496,Matara,LK,75.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
500,Salinas,US,77.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
501,Kalianget,ID,76.35,light rain,-7.05,113.9333,Pesanggrahan Garam
502,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
503,Kattivakkam,IN,80.08,clear sky,13.2167,80.3167,Euronova Freezer
504,Sumbe,AO,77.4,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
506,Tevaitoa,PF,81.14,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
